Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
100.0;Phinney Ridge;Seattle;United States;House;Entire home/apt;4;1.0;;40.0;2;20;0;78;88.0
50.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;24.0;1;0;0;146;92.0
22.0;Sol;Madrid;Spain;House;Shared room;6;1.0;;;1;22;0;276;73.0
130.0;Sol;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;40.0;2;25;0;214;94.0
45.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;362;75.0
175.0;Mid-Wilshire;Los Angeles;United States;Apartment;Entire home/apt;6;1.0;;25.0;4;20;0;232;96.0
100.0;Pacífico;Madrid;Spain;House;Entire home/apt;4;2.0;100.0;;4;25;1;320;
51.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;25.0;1;0;0;156;85.0
33.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;309;98.0
70.0;Berruguete;Madrid;Spain;Apartment;Entire home/apt;2;1.0;250.0;30.0;1;0;0;0;73.0
45.0;Acacias;Madrid;Spain;House;Private room;2;1.0;;10.0;2;0;0;324;97.0
28.0;Justicia;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;45;93.0
60.0;Lista;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;360;
200.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;2;1.0;800.0;200.0;1;0;0;249;
40.0;Castellana;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;20;0;364;40.0
84.0;Castellana;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;;1;0;0;0;
20.0;Canillas;Madrid;Spain;Apartment;Private room;2;1.0;;;1;8;0;138;96.0
60.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;30.0;2;15;0;269;97.0
